	0	1	2
PRJNA470578	Heat-induced transgenerational memory of upregulated gene expression (thale cress)	"A histone demethylase-heat shock factor- positive feedback loop transmits heat-induced gene activation transgenerationally
Overall design: Examination of gene expression in wildtype, heat-stressed 1st generation Col-0 plants, and in unstressed 2nd and 3rd generation plants and unstressed sgs3-12 plants ."	
PRJNA470669	Interdependent nutrient availability and   steroid hormone signals facilitate root growth plasticity (thale cress)	"Plants acquire essential elements from inherently heterogeneous soils, in which phosphate and iron availabilities vary.  Consequently, plants developed adaptive strategies to cope with low iron and low phosphate levels, including alternation between root growth enhancement and attenuation. How this adaptive response is achieved remains unclear. Here, we found that low iron accelerates the root growth of Arabidopsis thaliana by activating brassinosteroid signaling, whereas low-phosphate-induced high iron accumulation inhibited it.  Altered hormone signaling intensity also modulated iron accumulation in the root elongation and differentiation zones, constituting a feedback response between brassinosteroid and iron. Surprisingly, the early effect of low iron levels on root growth required the brassinosteroid receptor but the hormone ligand was negligible. The brassinosteroid receptor inhibitor BKI1, the transcription factors BES1/BZR1 and the ferroxidase LPR1, stood at the base of this feedback loop.  Hence, shared brassinosteroid and iron regulatory components link nutrient status to root morphology, thereby driving the adaptive response.
Overall design: Arabidopsis (Arabidopsis thaliana) lines in the Columbia-0 (Col-0) background, wild type and bzr1-D mutant, were germinated on one-half-strength Murashige and Skoog medium supplemented with 0.2% (w/v) sucrose for 6 days. Seedlings were then transferred for 24h to medium with either adequate (0.625 mM) or deficient (1µM) Pi levels (as described in Singh et al, Plant Phys, 2014). 8 samples of mRNA from two biological replicates were collected (i.e. from roots of 7-day-old seedlings). Samples were sequenced on an Illumina HiSeq 2500, to obtain 50 bp single end reads. Less..."	
PRJNA471077	Discovery of a novel plant eIF4E-binding protein: Conserved Binding of eIF4E 1 (CBE1) (thale cress)	"Regulation of translation initiation is accomplished in diverse eukaryotes through proteins which bind to the mRNA cap-binding protein, eIF4E, and either prevent its association with eIF4G or form repressive mRNPs which exclude the translation machinery. Such mechanisms in plants, and even the presence of eIF4E-interacting proteins outside of eIF4G (and the plant-specific isoform eIFiso4G, which binds eIFiso4E) which operate in a gene regulatory manner are not known. Here we describe the Conserved Binding of eIF4E 1 (CBE1), a plant-specific protein with an evolutionarily conserved eIF4E binding motif. This protein binds eIF4E or eIFiso4E in vitro to form cap-binding complexes, and is found as a constituent of cap-binding complexes in vivo in an eIF4E-dependent manner. Mutants lacking CBE1 show dysregulation of cell cycle related transcripts, accumulating higher levels relative to wild-type plants of mRNAs encoding proteins involved in mitotic processes. These findings support CBE1 as a plant protein with the capability to form cap-binding complexes with the potential for gene regulatory activity.
Overall design: poly(A) RNA fraction was purified and sequenced from homogenized 7-day-old seedling tissue, grown under long day conditions on 1% sucrose MS plates, with three biological replicates of Col0 (wild-type) or cbe1 mutant Less..."	
PRJNA471243	Gene expression responses to ABA and to osmotic stress in the pyl112458 379101112 mutant (thale cress)	"Nearly all of the transcript level responses to ABA in WT seedlings were diminished in the 112458 379101112 mutant.  However, only a relatively small percentage of the transcript level responses to osmotic stress was abolished in the 112458 379101112 mutant, and the majority of the responses was maintained, although the levels of up- or down-regulation of many of the transcripts were reduced in the mutant.
Overall design: Wild type and mutant seedlings were grown vertically for 9 days before treatment. These seedlings were mock treated, or treated with 100 µM ABA or 300 mM mannitol for 24 hours on filter papers.  The transcriptome were analyzed by deep sequencing, in triplicate, using Illumina HiSeq 2500. Less..."	"Zhao Y et al., ""Arabidopsis Duodecuple Mutant of PYL ABA Receptors Reveals PYL Repression of ABA-Independent SnRK2 Activity."", Cell Rep, 2018 Jun 12;23(11):3340-3351.e5"
PRJNA471625	Gene expression profiling in Col-0 and ein2-5 seedlings under glucose depletion and glucose recovery conditions (thale cress)	"We aimed to compare the differences in gene expression in Col-0 and ein2-5 seedlings under glucose depletion and glucose recovery conditions. Col-0 and ein2-5 seedlings were germinated in liquid 1/2 MS medium without glucose for 4 days and were then treated with or without glucose for 2 hours. mRNA seq was performed to make the comparisons.
Overall design: Col-0 and ein2-5 seedlings were grown in liquid 1/2 MS medium without glucose for 4 days, and were then treated with or without 15 mM glucose for 2 hours. RNA was isolated and mRNA-seq was performed to compare the differences in gene expression in Col-0 and ein2-5 seedlings. Less..."	
PRJNA471914	Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation (thale cress)	"Single cell sequencing (DropSeq) from 7 day old Arabidopsis roots with  β-estradiol-VND7, MYB83 and MYB46 induction lines and controls
Overall design: 7 day Arabidopsis roots either treated with β-estradiol and collected after 24 hours or transferred to control MS plates for 24 hours. All experiments where treated at 7am and collected at 7am the next day for protoplasting and DropSeq Less..."	"Turco GM et al., ""Molecular Mechanisms Driving Switch Behavior in Xylem Cell Differentiation."", Cell Rep, 2019 Jul 9;28(2):342-351.e4"
PRJNA472051	Leaf age dependent transcriptome analysis in response to abscisic acid (thale cress)	"Since development is an important regulator in hormonal responses we wanted to investigate to what extent responses to the phytohormone abscisic acid (ABA) are controlled by old and young leaves within a single plant. Our RNAseq analysis indicate that ABA treatment triggers as set of common and leaf age specific responses in both old and young leaves.
Overall design: 4-5 week old Arabidopsis thaliana Col-0 plats were sprayed with either control (0.5% EtOH + 0.05% Tween20) or ABA (500µM, 100 mM stock in EtOH, 0.05% Tween20) treated and old leaves (true leave 7) and young leaves (true leave 12) were harvested 48h after treatment. The experiment was repeated 3 times and in total 12 samples were used for statistical analysis. Less..."	"Berens ML et al., ""Balancing trade-offs between biotic and abiotic stress responses through leaf age-dependent variation in stress hormone cross-talk."", Proc Natl Acad Sci U S A, 2019 Feb 5;116(6):2364-2373"
PRJNA472158	A regulatory module controls plant growth and stress response by modulating hormone level (thale cress)	"Perception and relay of cell wall signals is critical for plants to regulate growth and stress responses, but the mechanism underlying this biological process remains largely unknown. Here we report that RAPID ALKALINIZATION FACTOR (RALFs) peptides, Leucine-rich repeat extensins (LRXs) and FERONIA (FER) are physically associated in extracellular region. lrx345, fer-4, and transgenic plants overexpressing RALF22 or RALF23 all showed retarded growth, increased sensitivity to salt stress, and constitutively increased levels of ABA, JA, and SA. Salt treatment or chemical disruption of cell wall promotes the release of mature RALF peptides, which negatively regulate the function of FER by inducing its internalization. JA mutants coi1 and aos restore the retarded growth, and mutation of ABA2 suppresses the salt-sensitive phenotype of lrx345. Together, we propose that LRXs, RALFs, and FER function as a module to sense and transduce cell wall signals, thereby regulating growth and stress responses via hormones-mediated pathways.
Overall design: RNA-Seq of 4 samples, each has 3 replicates. The samples are wild type ( WT ) and lrx345 before and after NaCl treatment. Less..."	"Zhao C et al., ""The LRXs-RALFs-FER module controls plant growth and salt stress responses by modulating multiple plant hormones."", Natl Sci Rev, 2021 Jan;8(1):nwaa149"
PRJNA472615	An essential role for Abscisic acid in the regulation of xylem fibre differentiation (thale cress)	"The Arabidopsis hypocotyl is an excellent model for understanding radial growth in plants. Division of the cambial cells and their subsequent differentiation into xylem and phloem drives radial expansion of the hypocotyl. Following the transition to reproductive growth, a phase change occurs in the Arabidopsis hypocotyl. During this second phase, the relative rate of xylem production is dramatically increased compared to that of phloem and xylem fibres containing thick secondary cell walls also form, which results in the production of xylem tissue comparable to the wood of trees. Abscisic acid (ABA) is a phytohormone known to have a major role in various plant processes, including in the response to changes in environmental conditions and in the promotion of seed dormancy. Using two different genetic backgrounds and different environmental conditions, we identified a set of core of transcriptional changes associated with the switch to the second phase of growth in the hypocotyl. ABA signalling pathways were identified as being as significantly over-represented in this set of core genes. Reverse genetic analysis demonstrated that mutants defective in ABA-biosynthesis enzymes exhibited significantly delayed fibre production without affecting the xylem:phloem ratio. The altered morphology is also reflected at the transcript level, with a reduced expression of marker genes associated with fibre formation in aba1 mutants. The application of exogenous ABA to the mutant rescued the phenotype, restoring fibre differentiation to wild-type levels. Taken together the data reveals an essential role for ABA in the regulation of fibre formation.
Overall design: We used RNA-seq to probe transcripome changes in Arabidopsis thaliana transgenic line 35S::CO:GR co-2 tt4 during dexamethasone treatment to follow xylem transition from phase I to phase II Less..."	
PRJNA472887	RNA-seq to identity genes expressed in dissected inflorescence meristems of Col-0 Arabidopsis thaliana plants. (thale cress)	"The shoot apical meristem of higher plants continuously generates new tissues and organs through complex changes in growth rates and directions of its individual cells. Cell growth, driven by turgor pressure, largely depends on the cell walls, which allow cell expansion through synthesis and structural changes. A previous study revealed a major contribution of wall isotropy in organ emergence, through the disorganization of cortical microtubules. We show here that this disorganization is coupled with the transcriptional control of genes involved in wall remodelling. Some of these genes are induced when microtubules are disorganized and cells shift to isotropic growth. Mechanical modelling shows that this coupling has the potential to compensate for reduced cell expansion rates induced by the shift to isotropic growth. Reciprocally, cell wall loosening induced by different treatments or altered cell wall composition promotes a disruption of microtubule alignment. Our data thus indicate the existence of a regulatory module activated during organ outgrowth, linking microtubule arrangements to cell wall remodelling.
Overall design: 3 Col-0 samples Less..."	"Armezzani A et al., ""Transcriptional induction of cell wall remodelling genes is coupled to microtubule-driven growth isotropy at the shoot apex in Arabidopsis."", Development, 2018 Jun 4;145(11)"
PRJNA472997	Arabidopsis TRM5 encodes a nuclear-localised tRNA guanine-N1-methyltransferase and is important for plant growth (thale cress)	"We show that trm5 plants have less m1G in tRNAs, a slower leaf initiation rate, delayed flowering, and reduced primary root length. Late flowering correlates with reduced transcription of floral activators CO, FT, SOC1 and AP1. We also show that TRM5 methylates tRNA position 37 of several nucleus-encoded tRNA species, trm5 plants have reduced m1G and TRM5 is localized to the nucleus. Our findings highlight the importance of the post-transcriptional tRNA modification m1G37 in plant growth and development.
Overall design: Identification of m1G methylation at position 37 of Arabidopsis thaliana tRNAs and Differential Expression analysis of wild type Col-0 Ecotype and trm5-1 mutant. Less..."	"Guo Q et al., ""Arabidopsis TRM5 encodes a nuclear-localised bifunctional tRNA guanine and inosine-N1-methyltransferase that is important for growth."", PLoS One, 2019;14(11):e0225064"
PRJNA429247	Genome-wide occupancy of histone H3K27 methyltransferases CURLY LEAF and SWINGER in Arabidopsis seedlings (thale cress)	"The Polycomb Group (PcG) proteins form two protein complexes, PcG Repressive Complex 1 (PRC1) and PRC2, which are key epigenetic regulators in eukaryotes. PRC2 represses gene expression by catalyzing the trimethylation of histone H3 lysine 27 (H3K27me3). In Arabidopsis (Arabidopsis thaliana), CURLY LEAF (CLF) and SWINGER (SWN) are two major H3K27 methyltransferases and core components of PRC2, playing essential roles in plant growth and development. Despite their importance, genome-wide binding profiles of CLF and SWN have not been determined and compared yet. In this study, we generated transgenic lines expressing GFP-tagged CLF/SWN under their respective native promoters and used them for ChIP-seq analyses to profile the genome-wide distributions of CLF and SWN in Arabidopsis seedlings. We also profiled and compared the global H3K27me3 levels in wild-type (WT) and PcG mutants (clf, swn, and clf swn). Our data show that CLF and SWN bind to almost the same set of genes, except that SWN has a few hundred more targets. Two short DNA sequences, the GAGA-like and Telo-box-like motifs, were found enriched in the CLF and SWN binding regions. The H3K27me3 levels in clf, but not in swn, were markedly reduced compared with WT; and the mark was undetectable in the clf swn double mutant. Further, we profiled the transcriptomes in clf, swn, and clf swn, and compared with that in WT. Thus this work provides a useful resource for the plant epigenetics community for dissecting the functions of PRC2 in plant growth and development.
Overall design: Examination of CLF and SWN genome-wide bindings, and the distribution of H3K27me3 in WT, clf, swn, and clf swn seedlings. Less..."	"Shu J et al., ""Genome-wide occupancy of histone H3K27 methyltransferases CURLY LEAF and SWINGER in Arabidopsis seedlings."", Plant Direct, 2019 Jan;3(1):e00100"
PRJNA473337	Virus-mediated export of chromosomal DNA in plants	"The propensity of viruses to acquire genetic material from relatives and possibly from infected hosts makes them excellent candidates as vectors for horizontal gene transfer. However, virus-mediated acquisition of host genetic material, as deduced from historical events, appears to be rare. Here, we report spontaneous and surprisingly efficient generation of hybrid virus/host DNA molecules in the form of minicircles during infection of Beta vulgaris by Beet curly top Iran virus (BCTIV), a single-stranded DNA virus. The hybrid minicircles replicate, become encapsidated into viral particles, and spread systemically throughout infected plants in parallel with the viral infection. Importantly, when co-infected with BCTIV, B. vulgaris DNA captured in minicircles replicate and is transcribed in other plant species that are sensitive to BCTIV infection. Thus, we have likely documented in real time the initial steps of a possible path of virus-mediated horizontal transfer of chromosomal DNA between plant species.
Overall design: DNA re-sequencing of BCTIV-infected Arabidopsis and Beta vulgaris plants, and a healthy mock-inoculated Beet control. Less..."	"Catoni M et al., ""Virus-mediated export of chromosomal DNA in plants."", Nat Commun, 2018 Dec 13;9(1):5308"
PRJNA473499	Coordinated regulation of pre-mRNA splicing by the SFPS-RRC1 complex to promote photomorphogenesis in Arabidopsis (thale cress)	"We report the application of illumina high throughput RNA sequencing for rrc1-3 mutants in both light and dark conditions(three replicates under each condition) in Arabidopsis.  By obtaining over 100 million reads (150bp paired_end) for each rRNA depleted lib, we compared the transcriptome profile between rrc1-3 mutant and Col-0 wild type light and dark conditions. We find that genome wide spliciing activities are general defective in rrc1-3 mutant comparing to Col-0 wild type, which indicates the importance of post-transcriptional processing on gene expression regulation. In addition, the sequencing data also indicates light signal probably regulates both splicing cascade and transcriptional cascade to control the downstream gene expression.
Overall design: Examination of splicing profile in rrc1-3 mutants, comparing with Col-0 wild type under both light and dark conditions. Less..."	"Xin R et al., ""Coordinated Regulation of Pre-mRNA Splicing by the SFPS-RRC1 Complex to Promote Photomorphogenesis."", Plant Cell, 2019 Sep;31(9):2052-2069"
PRJNA473514	A spatiotemporal DNA endoploidy map of the Arabidopsis root reveals roles for the endocycle in root development and stress adaptation (thale cress)	"Somatic polyploidy caused by endoreplication is observed in arthropods, molluscs, and vertebrates, but is especially prominent in higher plants where it has been postulated to be essential for cell growth and fate maintenance. However, a comprehensive understanding of the physiological significance of plant endopolyploidy has remained elusive. Here, we modeled and experimentally verified a high-resolution DNA endoploidy map of the developing Arabidopsis thaliana root, revealing a remarkable spatiotemporal control of DNA endoploidy levels across tissues and a strong dependence on stress signals. Cellular and transcriptomic analysis revealed that inhibition of endoreplication onset alters the nuclear-to-cellular volume ratio and change in expression of cell wall modifying genes, correlated with the appearance of cell structural changes. Our data indicate that endopolyploidy might serve to coordinate cell expansion with structural stability, and that spatiotemporal endoreplication pattern changes may buffer for stress conditions, which may explain the widespread occurrence of the endocycle in plant species growing in extreme or variable environments.
Overall design: Two biological replicates of Col-0 were compared with three biological replicates of smr1 Less..."	"Bhosale R et al., ""A Spatiotemporal DNA Endoploidy Map of the Arabidopsis Root Reveals Roles for the Endocycle in Root Development and Stress Adaptation."", Plant Cell, 2018 Oct;30(10):2330-2351"
PRJNA473640	RNA-seq Analysis of the stem of Wild Type and HDT1 Transcriptomes (thale cress)	"RNA-seq was performed to examine the differential expressed transcriptomes in hdt1 plants during stem development compare to wild type plants.
Overall design: To examine the differential expressed transcriptomes in hdt1 plants during stem development, the stem from hdt1 mutants and wild type plants at 35-days after flowering were collected for RNA-seq analysis. No replicates include in each samples. Less..."	
PRJNA474441	Effect of GA on PAC and PAO1 treated Arabidopsis seeds (thale cress)	"Effect of GA on PAC and PAO1 treated Arabidopsis seeds.
Seeds were treated during 20h with paclobutrazol (PAC) or with lyophilized extracts of Pseudomonas aeruginosa liquid culture medium (PAO1).
Experiments were also performed with exogenous application of gibberellic acid.
Overall design: RNA-seq of wildtype and della mutant seeds treated with MOCK, PAC, PAC + GA, PAO1 extract or PAO1 extract + GA
contributor: Genomics Platform of the Institute of Genetics and Genomics (iGE3), University of Geneva Less..."	"Chahtane H et al., ""The plant pathogen Pseudomonas aeruginosa triggers a DELLA-dependent seed germination arrest in Arabidopsis."", Elife, 2018 Aug 28;7"
PRJNA474709	The histone H3K4 demethylase JMJ16 represses leaf senescence in Arabidopsis (thale cress)	"Leaf senescence is governed by a complex regulatory network involving dynamic reprogramming of gene expression. Recent evidence indicates that trimethylation of histone H3 at lysine 4 (H3K4me3) alters gene expression during leaf senescence. However, it is largely unknown how histone modification is regulated in an age-dependent manner. We found that JMJ16, an Arabidopsis JmjC-domain containing protein, is a specific H3K4 demethylase that negatively regulates leaf senescence. The histone demethylase activity and the JmjN, JmjC, and FYR domains of JMJ16, but not the zf-C5HC2 domain, are essential for JMJ16 function in the regulation of leaf senescence. Genome-wide analysis revealed a widespread coordinated up-regulation of H3K4me3 and gene expression associated with leaf senescence in the loss-of-function jmj16 mutant compared with the wild type. Genetic analysis indicated that JMJ16 negatively regulates leaf senescence at least partly through repressing the expression of WRKY53 and SAG201, two known positive regulators of leaf senescence. Further analyses demonstrated that JMJ16 associates with WRKY53 and SAG201, and represses precocious expression of WRKY53 and SAG201 in mature leaves by reducing H3K4me3 levels at these loci. Moreover, association of JMJ16 on WRKY53 and SAG201 loci increased at mature stage but decreased at later stage, suggesting that the age-dependent dynamic chromatin association of JMJ16 is required for precise transcriptional activation of SAGs during leaf senescence. Thus, JMJ16 is an important regulator of leaf senescence that demethylates H3K4 at senescence-associated genes in an age-dependent manner.
Overall design: Examination of the difference of transcriptomes, H3K4me3 modifications and JMJ16 binding in Col and jmj16 KO Arabidopsis. Less..."	"Liu P et al., ""The Histone H3K4 Demethylase JMJ16 Represses Leaf Senescence in Arabidopsis."", Plant Cell, 2019 Feb;31(2):430-443"
PRJNA474938	Global transcriptomic response to chilling temperature in Col-0 wild type and sig5-3 (SALK_141383C) mutant Arabidopsis plants. (thale cress)	"Purpose: Investigate whether a nuclear-encoded sigma factor (SIGMA FACTOR5, SIG5; controls chloroplast transcription) regulates the transcriptome (RNA-seq) in response to chilling.
Overall design: Col-0 wild type and sig5-3 seedlings were grown under light/dark cycles for 11 days and exposed to continuous light for 24 h before start of experiment.  After 24 h under continuous light, one set of seedlings was exposed to 5 h chilling (4 °C), commencing at ZT27, and the other set was exposed to 3 h of chilling, commencing at ZT45. Both sets of chilled samples had parallel controls that were not chilled (19 °C). Each treatment had 3 independent replicates. Total RNA was extracted and RNA sequencing libraries were prepared using the Illumina TruSeq Stranded mRNA kit. Sequencing was performed using an Illumina NextSeq 500 using NSQ 500 Hi-Output kit v2 (150 cycle). Sequence data were imported into Partek Genomics Suite version 6.6 (Partek, St. Louis, 385 MO, USA), further trimmed and aligned to the Arabidopsis thaliana genome (TAIR11) using STAR (version 2.4.1d). Genes with a fold change of |log2| > 1.5 and a false detection rate of < 0.05 were considered as differentially-expressed."	
PRJNA475117	High density analysis of the tailing and trimming patterns of RISC-cleaved MYB33 and SPL13 transcripts in Arabidopsis heso1 and urt1 mutants (thale cress)	"Using 3' RACEseq method, we compared the tailing and nibbling patterns of RISC-cleaved MYB33 and SPL13 transcripts between wild-type plants and mutant plants depleted for the terminal uridylyltransferases (TUTases) HESO1 and URT1. Our data reveal a major and minor role for HESO and URT1, respectively, in the uridylation of RISC-cleaved transcripts.
Overall design: 3’ RACE-seq method was used to analyze the 3’ ends of 5’ MYB33 and SPL13 RISC-cleaved transcripts  for urt1, heso1 and heso1 urt1 mutants. This protocol is based on the ligation of a primer at the 3’ end of RNA, and the subsequent targeted amplification by PCR of amplicons suitable for Illumina sequencing. Less..."	"Zuber H et al., ""Respective Contributions of URT1 and HESO1 to the Uridylation of 5' Fragments Produced From RISC-Cleaved mRNAs."", Front Plant Sci, 2018;9:1438"
PRJNA475464	Comparative gene expression analysis in the Arabidopsis thaliana root apex using RNA-seq and microarray transcriptome profiles [RNA-seq] (thale cress)	"The root apex is an important section of the plant root, involved in environmental sensing and cellular development. Analyzing the gene profile of root apex in diverse environments is important and challenging, especially when the samples are limiting and precious, such as in spaceflight. The feasibility of using tiny root sections for transcriptome analysis was examined in this study.To understand the gene expression profiles of the root apex, Arabidopsis thaliana Col-0 roots were sectioned into Zone-I (0.5 mm, root cap and meristematic zone) and Zone-II (1.5 mm, transition, elongation and growth terminating zone). Gene expression was analyzed using microarray and RNA seq.Both the techniques, arrays and RNA-Seq identified 4180 common genes as differentially expressed (with > two-fold changes) between the zones. In addition, 771 unique genes and 19 novel TARs were identified by RNA-Seq as differentially expressed which were not detected in the arrays.
Single root tip zones can be used for full transcriptome analysis; further, the root apex zones are functionally very distinct from each other. RNA-Seq provided novel information about the transcripts compared to the arrays. These data will help optimize transcriptome techniques for dealing with small, rare samples.
Overall design: Arabidopsis thaliana var. Columbia (COL-0) seedlings were grown on sterile solid media plates containing 0.5 % phytagel. The plates were vertically placed in growth chambers with continuous light (80-100 µmol m -2) at a constant temperature of 19° C. Eight day old seedlings were harvested into RNA-later solution in a 50 mL centrifuge tubes and stored at -20 °C freezer. The root tips were dissected into zone-I: 0.5mm from the tip including the root cap and root division zones, and zone-II: 1.5mm sections including root elongation and root hair zone. Microarray and sequencing experiments were performed. Less..."	"Krishnamurthy A et al., ""Comparing RNA-Seq and microarray gene expression data in two zones of the Arabidopsis root apex relevant to spaceflight."", Appl Plant Sci, 2018 Nov;6(11):e01197"
PRJNA475542	Widespread inter-individual gene expression variability in Arabidopsis thaliana (thale cress)	"A fundamental question in biology is how gene expression is regulated to give rise to a phenotype. However, transcriptional variability is rarely considered and could influence the relationship between genotype and phenotype. It is known in unicellular organisms that gene expression is often noisy rather than uniform and has been proposed to be beneficial when environmental conditions are unpredictable. However, little is known about transcriptional variability in multicellular organisms. Using transcriptomic approaches, we analysed gene expression variability over a 24 hours time-course between individual Arabidopsis thaliana plants growing in stable conditions. We identified hundreds of genes that exhibit high inter-individual variability and found that many are involved in environmental responses. We also identified factors that might facilitate gene expression variability, such as gene size, the number of transcription factors regulating a gene and the chromatin environment. These results will bring a new light into the impact of transcriptional variability in gene expression regulation in plants.
Overall design: RNA-seq were generated for 14 individual seedlings for each of the 12 following time points: ZT2, ZT4, ZT6, ZT8, ZT10, ZT12 (just before dusk), ZT14, ZT16, ZT18, ZT20, ZT22 and ZT24 (just before dawn). Less..."	"Cortijo S et al., ""Widespread inter-individual gene expression variability in Arabidopsis thaliana."", Mol Syst Biol, 2019 Jan 24;15(1):e8591"
PRJNA475545	Light releases the TCP4-SAUR16/50 transcription module from the repression of PIF3 to facilitate cotyledon opening during de-etiolation [RNA-seq] (thale cress)	"Etiolated Arabidopsis seedlings open their cotyledons and halt rapid elongation of hypocotyl when exposed to light (de-etiolation). Major light responsive components in this process have been identified and signaling pathways revealed, yet how the organ-specific light responses are achieved remains unknown. Here we report that a developmental regulator TCP4 (TEOSINTE BRANCHED1, CYCLOIDEA, and PCF) participates in photomorphogenesis and facilitates light-induced cotyledon-opening. We demonstrate that TCP4-like transcriptional factors, which predominantly express in cotyledons of both light and dark seedlings, activate SAUR16 and SAUR50 in response to light. Light repressor PIF3 (or PIFs, phytochrome-interacting factors), which accumulates in etiolated seedlings and rapidly declines upon light exposure, inhibits TCP4 promoter-binding and prevents activation of SAUR16/50 in darkness. Our study reveals how an interplay between light responsive factors and developmental regulators leads to signal-dependent and tissue-specific regulation of gene expressions, which ultimately resulted in organ-specific light responses during de-etiolation.
Overall design: Cotyledon mRNA profiles of 4-day-old dark grown Col, mTCP4#4 and mTCP4#10 seedlings were generated by deep sequencing. Less..."	"Dong J et al., ""The Transcription Factors TCP4 and PIF3 Antagonistically Regulate Organ-Specific Light Induction of SAUR Genes to Modulate Cotyledon Opening during De-Etiolation in Arabidopsis."", Plant Cell, 2019 May;31(5):1155-1170"
PRJNA476580	RNA Polymerase II read-through promotes expression of neighboring genes in SAL1-PAP-XRN retrograde signaling (thale cress)	"Abstract: In plants, the molecular function(s) of the nuclear localised 5’-3’ EXORIBONUCLEASES (XRNs) are unclear, however their activity is reported to have a significant effect on gene expression and SAL1-mediated retrograde signaling. Using Parallel Analysis of RNA Ends (PARE) we document a dramatic increase in uncapped RNA substrates of the XRNs in both sal1 and xrn2xrn3 mutants. We find that a major consequence of reducing SAL1 or XRN activity is RNA Polymerase II (Pol II) 3’ read-through. This occurs at 72% of expressed genes, demonstrating a major genome-wide role for the XRN-torpedo model of transcription termination in Arabidopsis. Read-through is speculated to have a negative effect on transcript abundance, however we do not observe this. Rather, we identify a strong association between read-though and increased transcript abundance of tandemly orientated downstream genes, strongly correlated with the proximity (<1,000bp) and expression of the upstream gene. We observe read-though in the proximity of 903 genes upregulated in the sal1-8 retrograde signaling mutant; thus, this phenomenon may directly account for up to 23% of genes upregulated in sal1-8. Using APX2 and AT5G43770 as exemplars, we genetically uncouple read-through loci from downstream genes to validate the principle of read-through mediated mRNA regulation, potentially providing one mechanism by which an obstensibly post-transcriptional exoribonuclease that targets uncapped RNAs could modulate gene expression.
Overall design: mRNA sequencing of pharmacologically treated Arabidopsis leaf tissue"	"Crisp PA et al., ""RNA Polymerase II Read-Through Promotes Expression of Neighboring Genes in SAL1-PAP-XRN Retrograde Signaling."", Plant Physiol, 2018 Dec;178(4):1614-1630"
PRJNA476754	Flg22 treatment of Brassicaceae and Arabidopsis thaliana accessions	"We used RNA-seq to profile gene expression changes during flg22 activated pattern-triggered immunity in multiple Brassicaceae including Capsella rubella, Cardamine hirsuta and Eutrema salsugineum as well as in multiple Arabidopsis thaliana accessions. This allows comparative transcriptomics within and across species to investigate the evolution of stress-responsive transcrption changes in these species.
Overall design: Gene expression profiling via mRNA sequencing of 12-day-old seedlings treated with mock or 1µM flg22 for 1 h, 9 h or 24 h. We used the A. thaliana accessions Can-0, Col-0, Gy-0, Kn-0, Kon and No-0 and the Brassicaceae species Capsella rubella, Cardamine hirsuta and Eutrema salsugineum Less..."	"Winkelmüller TM et al., ""Gene expression evolution in pattern-triggered immunity within Arabidopsis thaliana and across Brassicaceae species."", Plant Cell, 2021 Jul 19;33(6):1863-1887"
PRJNA476778	Contribution of time of day and the circadian clock to the heat stress responsive transcriptome in Arabidopsis (thale cress)	"In Arabidopsis, a large subset of heat responsive genes exhibits diurnal or circadian oscillations. However, to what extent the dimension of time and/or the circadian clock contribute to heat stress responses remains largely unknown. To determine the direct contribution of time of day and/or the clock to differential heat stress responses, we probed wild-type and mutants of the circadian clock genes CCA1, LHY, PRR7, and PRR9 following exposure to heat (37°C) and moderate cold (10°C) in the early morning (ZT1) and afternoon (ZT6). Thousands of genes were differentially expressed in response to temperature, time of day, and/or the clock mutation. Approximately 30% more genes were differentially expressed in the afternoon compared to the morning, and heat stress significantly perturbed the transcriptome. Of the DEGs (~3000) specifically responsive to heat stress, ~70% showed time of day (ZT1 or ZT6) occurrence of the transcriptional response. For the DEGs (~1400) that are shared between ZT1 and ZT6, we observed changes to the magnitude of the transcriptional response. In addition, ~2% of all DEGs showed differential responses to temperature stress in the clock mutants. The findings in this study highlight a significant role for time of day in the heat stress responsive transcriptome, and the clock through CCA1 and LHY, appears to have a more profound role than PRR7 and PRR9 in modulating heat stress responses during the day. Our results emphasize the importance of considering the dimension of time in studies on abiotic stress responses in Arabidopsis.
Overall design: We used RNA-sequencing to measure transcriptomic changes in Columbia-0 (WT), cca1-1/lhy-20 (cca1lhy) and prr7-3/prr9-1 (prr7prr9) under 1 h of moderate cold (10°C) and 1 h of heat stress (37°C). Samples were collected at ZT1 and ZT6.
Seedlings were grown on plates containing Murashige and Skoog (MS) medium supplemented with 1.5% sucrose (wt/vol) in 12 h light and 12 h dark (LD) cycles for 12 days at constant 22°C and 90 µm light intensity.
Single-end 75 base pair sequences were generated for each mRNA library using the NextSeq 500 (Illumina). Less..."	"Blair EJ et al., ""Contribution of time of day and the circadian clock to the heat stress responsive transcriptome in Arabidopsis."", Sci Rep, 2019 Mar 18;9(1):4814"
PRJNA476942	The PEAT protein complexes are required for histone deacetylation and heterochromatin silencing [RNA-Seq] (thale cress)	"We found PEAT complexes mediate histone deacetylation and heterochromatin condensation and thereby facilitate heterochromatin silencing.
Overall design: Examination of the mRNA expression in Arabidopsis"	"Tan LM et al., ""The PEAT protein complexes are required for histone deacetylation and heterochromatin silencing."", EMBO J, 2018 Oct 1;37(19)"
